age,annual_income,credit_score,online_visits_per_month,previous_purchases,days_since_last_purchase,marketing_emails_opened,purchased_premium_membership
20,48094,627,18,6,20,8,1
23,39166,644,6,2,39,12,0
52,42624,659,11,9,97,9,1
69,60963,646,10,4,89,2,0
19,22481,618,9,5,190,11,0
52,71057,487,10,2,182,8,0
25,73569,650,10,6,131,7,0
51,55480,706,8,5,60,8,1
50,15347,645,7,5,237,6,0
22,42064,815,10,5,288,5,0
53,82192,681,11,9,234,8,1
64,15000,770,14,8,294,6,1
62,53745,698,9,0,333,4,0
19,38760,738,16,2,307,11,0
30,74482,700,14,2,238,13,1
30,47848,776,12,7,19,10,1
41,67271,684,11,5,122,13,1
25,70178,715,11,6,156,14,1
62,93052,706,10,6,260,11,1
58,56347,660,11,6,309,6,1
60,66769,708,10,4,234,9,1
28,33269,836,9,8,133,7,1
18,81427,661,17,6,287,10,0
65,46311,709,8,2,254,7,0
33,49906,768,13,4,291,6,0
52,59600,760,8,2,215,8,0
65,31868,681,12,2,236,5,0
19,64118,513,13,4,127,4,0
18,77414,716,10,7,146,7,0
18,65273,525,9,1,101,6,0
26,31400,783,11,4,94,5,1
20,57771,692,18,5,238,13,1
60,73357,750,15,5,140,9,1
49,26196,617,4,5,49,6,0
68,40654,571,13,8,13,14,1
59,75778,698,9,4,314,8,0
68,64862,678,10,4,159,4,1
30,67415,646,13,1,210,7,0
32,93471,686,7,5,330,15,1
62,68434,850,12,2,41,8,1
30,71842,738,12,7,342,7,0
20,108793,753,18,5,257,14,1
52,56152,739,12,1,234,12,0
59,45638,784,9,1,157,11,0
68,67700,667,13,4,258,3,0
66,67902,536,14,7,75,9,1
24,50519,667,11,2,110,10,0
58,41417,737,11,6,350,7,0
61,101577,612,6,4,101,8,1
54,65883,668,6,0,262,11,0
60,46819,632,14,4,339,9,0
61,76487,785,17,6,216,12,1
41,58035,732,15,8,109,2,1
20,55448,726,14,4,309,8,0
41,70121,724,20,6,301,11,1
28,36746,677,8,3,198,8,0
23,66347,694,12,9,42,5,1
24,94433,597,15,5,161,5,0
54,68391,527,9,8,158,2,0
44,53228,691,12,5,69,12,1
46,50872,703,14,4,147,6,1
56,52614,765,13,7,56,6,1
46,55429,790,13,2,253,7,0
50,53199,790,14,4,158,11,1
22,76494,610,19,2,266,8,0
62,28802,655,12,8,166,5,0
41,75516,714,12,8,260,10,1
26,53166,850,9,10,267,8,1
60,66785,784,14,4,59,4,1
56,39714,758,11,3,161,9,1
20,83915,653,11,5,273,9,0
28,82421,618,18,2,216,8,1
18,77273,735,10,4,81,6,1
32,32734,603,15,6,304,11,0
23,74924,663,16,4,73,5,1
54,67287,672,11,6,362,7,0
45,31105,792,11,6,258,10,1
68,59563,655,10,5,118,5,1
56,66562,509,14,2,71,11,0
49,70009,715,15,4,329,7,1
44,63191,631,14,4,191,7,1
20,65242,683,7,5,294,12,0
21,86525,674,20,8,303,4,1
50,82069,661,13,2,25,4,0
18,15000,735,9,6,249,9,0
20,54286,573,17,6,122,7,1
29,57036,644,15,5,331,8,1
63,28462,728,7,6,80,8,1
41,61695,637,9,5,13,8,1
54,82478,567,13,5,242,14,1
39,40442,727,9,9,201,15,1
27,66055,759,13,4,203,11,1
37,43515,677,13,5,96,10,1
22,47906,543,14,6,181,5,0
58,86593,729,10,6,351,6,1
27,50234,564,13,6,278,9,0
37,68320,702,10,4,359,8,0
68,26318,618,16,7,122,7,1
48,93522,599,14,8,317,8,1
41,70848,649,10,5,140,9,0
46,56715,667,9,7,341,6,0
58,70360,635,12,6,316,11,1
31,34623,721,12,6,60,7,1
51,81286,649,15,8,354,4,0
63,54168,749,10,5,222,10,1
47,56327,700,7,3,283,10,1
41,51150,631,9,7,211,10,1
25,49548,619,12,6,80,9,1
30,72504,565,19,8,359,5,0
67,64606,700,11,4,42,7,1
46,71731,655,8,7,295,8,1
33,59842,514,17,10,77,7,1
39,69238,642,10,6,286,9,1
48,52461,617,12,6,154,8,0
45,100135,790,10,6,87,6,1
54,31777,561,13,2,87,8,0
31,82697,579,9,7,117,9,0
51,84622,758,8,13,328,5,1
41,44661,775,14,4,281,5,0
66,100127,628,5,6,245,8,1
26,77919,636,15,8,230,7,1
25,77481,723,15,4,152,10,1
42,60504,517,14,3,329,7,0
44,56090,550,15,8,100,4,1
53,56231,660,9,7,344,7,0
39,67030,788,9,5,139,11,1
65,85221,649,14,5,125,7,1
42,63264,687,8,8,174,14,1
24,43594,759,9,5,273,11,1
24,74840,827,10,4,260,10,0
68,76581,640,13,5,280,12,1
24,71784,679,6,6,33,13,1
67,73419,808,17,3,59,10,1
32,55123,573,11,6,309,7,0
22,43278,752,9,4,358,3,0
33,44373,609,9,3,47,8,0
49,30562,687,8,5,330,5,0
40,64265,663,10,4,96,5,0
58,58498,613,7,5,357,6,0
49,52080,611,16,5,362,8,0
38,15000,699,10,4,232,11,0
51,37548,750,9,3,70,5,1
68,80175,671,12,6,287,13,1
39,48037,685,13,4,37,7,1
25,66491,720,14,7,122,8,1
39,34968,612,8,6,233,9,0
61,85897,732,11,2,25,4,1
29,57408,737,14,4,144,5,1
67,65221,850,11,6,291,6,1
48,101864,654,12,7,34,10,1
49,87296,648,14,3,134,9,1
34,54482,734,10,7,2,7,1
65,49322,737,12,2,240,8,0
19,54140,643,11,3,29,4,1
33,69178,652,13,5,103,14,1
39,58106,718,13,7,191,9,1
42,52886,622,10,5,79,9,1
42,86409,651,1,8,85,11,0
25,57944,686,16,7,304,7,1
29,101393,750,12,9,284,12,1
22,61633,638,15,10,30,11,1
47,92136,551,8,6,313,7,0
36,66432,546,11,6,171,8,0
47,77333,592,16,4,53,10,1
48,46957,588,11,3,331,4,0
54,44632,669,9,9,123,10,1
46,68275,597,12,8,119,5,1
51,77794,631,5,10,54,9,1
48,60725,626,8,7,323,10,0
51,36845,649,8,3,105,9,0
50,35515,773,12,9,216,6,1
34,34312,726,10,9,88,5,0
30,28183,681,12,4,326,8,0
58,61971,648,10,5,287,4,0
35,80251,650,9,4,184,9,0
46,59759,703,8,6,126,11,1
28,19313,721,14,5,239,6,0
40,56566,616,13,6,181,6,0
45,57070,683,11,9,343,10,1
50,97728,538,11,3,246,8,0
45,33772,695,10,6,10,12,1
36,52968,733,15,6,300,8,1
68,90705,660,13,5,71,10,1
44,68100,807,13,6,110,15,1
