house_size_sqft,bedrooms,bathrooms,house_age_years,distance_to_city_km,house_price
1256,3,1,8,37.7,304044
653,1,1,6,5.2,227843
1520,3,1,41,5.9,363439
939,1,1,28,6.7,182787
3013,2,3,46,39.3,426876
2376,5,2,21,25.1,583935
3932,4,4,10,24.8,890005
3148,1,2,30,39.5,422060
2679,5,3,46,4.4,688452
2331,3,3,26,39,413858
785,5,3,0,9,449523
838,4,4,15,25.3,431090
2695,2,1,46,17.4,416157
614,3,3,25,16,228550
743,3,4,47,37.3,212008
1345,4,4,25,6.8,520611
3606,2,3,0,39.9,657661
2160,2,3,43,15.8,421054
3012,2,4,38,26.3,529048
1999,2,3,35,38.7,326411
1188,1,4,48,3.2,249411
1861,1,1,9,37,270961
911,5,2,45,23.1,314285
3218,1,1,11,28.5,542401
1224,5,1,48,6.8,395667
1879,1,2,9,21.8,296989
3932,4,1,27,27.3,719059
2612,2,2,39,18.8,534721
2159,3,2,3,7,606251
2446,2,3,3,10.5,559813
3265,3,4,42,34.3,600939
1465,3,4,3,2.3,533391
2763,3,2,30,28.6,465041
3567,2,2,46,40,477889
2546,3,4,30,1.3,649190
2118,5,1,24,7.3,534845
1093,3,3,20,27.3,282231
1444,2,2,31,3.3,368438
3816,1,1,28,24,548701
2440,2,3,25,27.7,471403
1624,1,2,7,23.9,288636
2022,1,1,33,15.2,345132
2565,5,3,36,28.2,560803
2427,1,1,35,24.2,386147
2979,3,3,3,9.1,658854
1475,5,1,35,23,371743
2807,5,2,36,35.4,581823
2105,1,4,9,27,487866
3798,1,1,42,19.4,550516
1136,2,4,26,13.5,361912
1104,3,3,23,4.3,403820
2169,5,4,36,10.5,614315
2328,2,1,25,1.4,475417
2948,1,3,27,39.5,388100
1973,2,4,15,9.7,485485
3706,5,4,46,32.8,763060
2212,1,1,48,7.6,308775
1039,2,4,6,12.1,391736
1005,1,1,36,17.3,100683
3909,1,3,1,13.7,755815
1055,5,2,18,32.1,350576
3822,1,3,48,38.4,556643
1545,2,3,8,35.1,354841
917,5,1,18,7,445583
1635,4,3,10,31.3,447040
2689,1,4,36,6.8,529788
2054,3,2,23,36.6,368110
3270,5,2,29,21.2,696451
2677,3,4,47,14.1,561968
1962,3,1,26,7.1,443418
2757,3,2,36,1.5,561796
3902,4,3,4,10.7,857698
2000,1,2,10,36.6,252346
1121,5,4,47,32.1,333616
1989,5,2,42,38.8,451022
3456,1,4,32,4.9,607565
1339,5,1,18,24.1,378365
3827,5,3,9,11,976189
2600,4,3,42,22.2,540777
2645,2,1,39,13.5,457675
1677,3,1,12,12.1,457333
3729,5,3,29,23.4,825048
722,1,3,30,8.1,148286
1615,5,3,23,19.3,525122
2022,5,1,46,26.4,397862
2222,4,3,6,6,738594
2212,2,4,12,37.3,405824
1102,3,1,4,20.7,293380
1367,1,2,34,33,147462
923,5,2,32,26.5,281812
2546,2,4,49,28.7,479922
1792,1,2,27,28.9,353506
2523,4,2,7,35.1,541481
2605,4,3,22,24.9,560111
2986,4,1,4,11.9,620488
2459,1,4,33,4.9,505908
2803,4,4,33,24.6,619977
2596,4,3,42,3.6,614212
2818,4,3,16,10.4,707411
2696,5,3,15,3.4,776978
1675,2,4,3,22.4,468746
1437,2,4,20,7.3,428964
3277,5,2,23,24.8,677467
1765,3,2,37,31.8,360167
2467,3,3,37,33.1,461848
1269,2,1,7,13.1,355166
2066,4,4,14,22.4,612199
2400,4,4,25,23,560492
2728,1,3,16,19.4,459805
2389,3,2,1,26.5,515043
1826,5,2,42,9.2,495482
3870,2,2,36,39.2,592770
2343,2,3,26,4.8,546529
